fid,f_intr_id,t_intr_id,snd_id
12,12180,12152,21082
18,11989,11960,25880
22,9325,9328,16760
54,11684,11605,20437
55,12297,12188,21232
69,11822,11768,20610
81,11780,11701,20561
106,11335,11336,25413
113,11378,11339,25453
149,12145,12125,21052
152,11913,11883,20729
155,11460,11417,25523
178,12314,12287,26071
205,12463,12368,21440
259,11394,11332,25466
278,10728,10729,18311
281,12037,46230,46259
288,11650,11559,20400
299,11721,11650,20489
302,11847,11766,20647
304,12126,12071,21012
334,12325,12311,44084
341,12396,12337,21354
371,11923,11771,20743
395,10190,10193,17745
423,11781,11705,20565
448,11957,11862,20786
479,9836,9837,17343
491,12137,12126,21023
493,11899,11868,25843
498,9207,9208,16626
509,11566,11541,20301
516,12438,12383,21396
541,11469,11373,20179
591,10542,10546,18126
593,12305,12191,21242
611,11894,11842,20708
614,10332,10333,17899
628,10125,10126,17683
661,12322,12276,26076
680,10173,10176,17726
681,12069,12009,20933
706,11791,11741,20583
732,9974,9978,17505
751,12457,12348,21432
753,9956,9958,17474
817,11473,11377,20182
836,11088,11089,25234
840,11474,11417,25532
854,11018,11019,25177
857,11653,11563,20405
865,12036,11984,20892
927,12142,12107,25974
931,11571,11516,25597
963,10257,10258,17815
979,11520,11495,25569
1000,11606,11531,20343
1003,11021,11022,25181
1014,9756,9759,17244
1029,11842,11806,20640
1074,11420,11365,25493
1096,12000,11948,20836
1115,12319,12265,21259
1136,10585,10588,18171
1166,11541,11462,20263
1171,9894,9895,17416
1173,22521,12267,45966
1192,11007,11008,25158
1234,11728,11680,25725
1235,12133,12097,21018
1244,10666,10670,18241
1263,11444,11410,25514
1269,10532,10533,18103
1276,12006,11974,25903
1282,10784,10788,18364
1299,12361,12351,26093
1323,12215,12169,26017
1331,11443,11412,25512
1344,12292,12186,21228
1348,11529,11437,20245
1440,12405,12382,43128
1444,12455,12408,21428
1466,11995,11935,25898
1493,11809,11752,20601
1494,12167,12134,21061
1528,12362,12323,21309
1563,11816,11779,25785
1599,11948,11923,20775
1622,9978,9983,17514
1649,11775,11699,20555
1658,11619,11502,20361
1673,10445,10446,18014
1737,11945,11911,25865
1743,9662,9664,17141
1773,9661,9662,17136
1795,11630,11548,20375
1810,12397,12340,21356
1811,46223,46229,46254
1835,11739,11715,25741
1909,10271,10274,17836
1956,11623,11543,20367
1962,11737,11692,25738
1967,11798,11725,20591
1968,12299,12276,26064
1996,12142,12123,25973
2025,12363,12314,26100
2070,11643,11635,46968
2092,11174,11183,25307
2111,11200,11203,25315
2114,9976,9981,17507
2117,12241,12220,26037
2120,12248,12212,21173
2121,11672,11656,20418
2161,11745,11679,20511
2164,11465,11418,25527
2177,11525,11435,20240
2202,11422,11393,20127
2230,11826,11778,20612
2248,11788,11718,20578
2254,11660,11622,25675
2257,11149,11151,25274
2269,12172,12060,21067
2273,11716,11642,20481
2274,10167,10172,17721
2315,12021,11959,20874
2334,11253,11255,25352
2339,12395,12336,21352
2343,11636,11551,20381
2355,11897,11839,25840
2423,8936,8942,16290
2424,11558,11506,25592
2426,12008,11934,20851
2444,11022,11023,25183
2466,10791,10794,18368
2472,11992,11919,20830
2498,12186,12076,21090
2502,10854,10857,25070
2522,12264,12227,26052
2542,12047,12031,43586
2590,11639,11557,20386
2592,12267,12226,21193
2603,11501,11457,25551
2630,12148,12092,21031
2642,10609,10612,44808
2657,12026,11962,20883
2697,12439,12385,21398
2750,12368,12307,21316
2753,10648,10652,18228
2766,11280,11281,25366
2768,11584,11546,25621
2779,9225,9227,16650
2810,11881,11850,25821
2843,12038,12025,20893
2844,11872,11794,20688
2857,10545,10558,18138
2871,10730,10731,18316
2877,12402,12346,21362
2879,10444,10445,18012
2884,11956,11857,20784
2956,11853,11775,20659
3004,9236,9238,16662
3008,11348,11332,25425
3020,11107,11109,25254
3021,12227,12204,26027
3032,11785,11714,20574
3042,11417,11405,25489
3053,11680,11652,25696
3071,12228,12098,21141
3092,12453,12404,21424
3113,11093,11094,25242
3158,11760,11685,20532
3184,11661,11597,25677
3212,12029,11966,25908
3236,12404,12347,21364
3238,11959,11865,20788
3249,11857,11777,20665
3251,10579,10585,18167
3299,11148,11149,25272
3305,12201,12180,21112
3331,11800,11765,25770
3332,12265,12222,21189
3333,10731,10734,18322
3334,10066,10067,17617
3367,12070,12039,20935
3370,11655,11568,20409
3371,12031,11995,25912
3385,11454,11363,20164
3424,12383,12321,21336
3428,11448,11351,20151
3433,11633,11584,25656
3457,12424,12364,21379
3474,12223,12215,26023
3483,12038,11997,20894
3490,11815,11791,20607
3537,10055,10056,17595
3560,9970,9974,17497
3566,11356,11320,25435
3588,11994,11982,44845
3593,12352,12306,21301
3628,9759,9760,17247
3646,11484,11426,20200
3678,12105,12073,20990
3693,12027,11998,20885
3709,10859,10861,25073
3753,11445,11399,25516
3762,10258,10259,17817
3768,11887,11845,25822
3782,12328,12272,21271
3784,11679,11599,20429
3790,12076,12020,20947
3803,12237,12223,44087
3808,12047,11990,25927
3845,11109,11112,25256
3927,10757,10758,18343
3950,10054,10055,17593
3952,11563,11485,20295
3979,12009,11949,20853
3987,12304,12299,46725
3997,11943,11900,20769
4005,9412,9355,16836
4024,11864,11822,20676
4042,12303,12253,21241
4059,11743,11688,20508
4064,12329,12274,21275
4079,11702,11662,25707
4090,11755,11737,25754
4099,9885,9878,17398
4182,11082,11084,25224
4186,11627,11589,46967
4188,11778,11649,46752
4209,11812,11738,20606
4227,9663,9661,17139
4228,12215,12199,26016
4245,22516,12028,45748
4287,12224,12163,21135
4313,12082,12035,20956
